Start offline game
Execute player move: g1-f3
Execute AI move: b8-c6
Execute player move: d2-d4
Execute AI move: c6-d4
Execute player move: f3-d4
Execute AI move: g8-f6
Execute player move: e2-e4
Execute AI move: f6-e4
Execute player move: d1-f3
Execute AI move: e4-f2
Execute player move: f3-f2
Execute AI move: d7-d5
Execute player move: d4-f5
Execute AI move: c8-f5
Execute player move: f2-f5
Execute AI move: e7-e5
Execute player move: f5-e5
Execute AI move: f8-e7
Execute player move: f1-b5
Execute AI move: e8-f8
Execute player move: e1-g1
Execute AI move: f8-g8
Execute player move: f1-f3
Execute AI move: e7-d6
Execute player move: e5-d5
Execute AI move: d6-h2
Execute player move: g1-h2
Execute AI move: d8-d5
Execute player move: b1-c3
Execute AI move: d5-f3
Execute player move: g2-f3
Execute AI move: a8-d8
Execute player move: c1-f4
Execute AI move: d8-d2
Execute player move: h2-g1
Execute AI move: d2-c2
Execute player move: a1-e1
Execute AI move: c2-c3
Execute player move: e1-e8
Player won
